"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
5323, "Transformer.05410_G2100DL9800", 2.071, 2.824, 114.9724, 84.3131, 19.9 
5323, "Transformer.05410_G2100EN2200", 2.761, 3.765, 118.3603, 86.79754, 19.9 
5323, "Transformer.05410_G2100GI2700", 1.381, 1.883, 195.4228, 143.31, 19.9 
5323, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 223.3032, 163.7557, 19.9 
5323, "Transformer.05410_G2100OJ3400", 7.217, 9.841, 101.4957, 74.43014, 7.62 
5323, "Transformer.05410_G2101BC7200", 7.217, 9.841, 113.2847, 83.07547, 7.62 
5323, "Transformer.05410_G2102CC0600", 1.381, 1.883, 115.0216, 84.34914, 19.9 
5324, "Transformer.05410_G2100DL9800", 2.071, 2.824, 111.4586, 81.73634, 19.9 
5324, "Transformer.05410_G2100EN2200", 2.761, 3.765, 114.3954, 83.88994, 19.9 
5324, "Transformer.05410_G2100GI2700", 1.381, 1.883, 188.843, 138.4849, 19.9 
5324, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 219.1199, 160.6879, 19.9 
5324, "Transformer.05410_G2101BC7200", 7.217, 9.841, 111.178, 81.53053, 7.62 
5324, "Transformer.05410_G2102CC0600", 1.381, 1.883, 112.8769, 82.77642, 19.9 
5325, "Transformer.05410_G2100DL9800", 2.071, 2.824, 103.1553, 75.64724, 19.9 
5325, "Transformer.05410_G2100EN2200", 2.761, 3.765, 105.5474, 77.4014, 19.9 
5325, "Transformer.05410_G2100GI2700", 1.381, 1.883, 174.1681, 127.7233, 19.9 
5325, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 203.7875, 149.4442, 19.9 
5325, "Transformer.05410_G2101BC7200", 7.217, 9.841, 103.4457, 75.8602, 7.62 
5325, "Transformer.05410_G2102CC0600", 1.381, 1.883, 105.01, 77.00731, 19.9 
5326, "Transformer.05410_G2100GI2700", 1.381, 1.883, 154.4874, 113.2907, 19.9 
5326, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 182.7993, 134.0528, 19.9 
5327, "Transformer.05410_G2100GI2700", 1.381, 1.883, 136.44, 100.056, 19.9 
5327, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 162.2237, 118.964, 19.9 
5328, "Transformer.05410_G2100GI2700", 1.381, 1.883, 122.1248, 89.55817, 19.9 
5328, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 144.7611, 106.1582, 19.9 
5329, "Transformer.05410_G2100GI2700", 1.381, 1.883, 112.8312, 82.74291, 19.9 
5329, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 134.8111, 98.86146, 19.9 
5330, "Transformer.05410_G2100GI2700", 1.381, 1.883, 106.1426, 77.83791, 19.9 
5330, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 126.294, 92.61558, 19.9 
5331, "Transformer.05410_G2100GI2700", 1.381, 1.883, 101.9436, 74.75866, 19.9 
5331, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 119.2234, 87.43047, 19.9 
5332, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 114.5058, 83.97093, 19.9 
5333, "Transformer.05410_G2100GI2700", 1.381, 1.883, 101.3111, 74.29483, 19.9 
5333, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 117.6799, 86.2986, 19.9 
5334, "Transformer.05410_G2100GI2700", 1.381, 1.883, 109.6833, 80.43442, 19.9 
5334, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 126.6247, 92.85809, 19.9 
5335, "Transformer.05410_G2100GI2700", 1.381, 1.883, 113.6266, 83.3262, 19.9 
5335, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 131.7945, 96.64933, 19.9 
5336, "Transformer.05410_G2100GI2700", 1.381, 1.883, 120.5611, 88.41148, 19.9 
5336, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 144.7098, 106.1205, 19.9 
5337, "Transformer.05410_G2100GI2700", 1.381, 1.883, 135.9129, 99.66945, 19.9 
5337, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 165.5692, 121.4174, 19.9 
5338, "Transformer.05410_G2100GI2700", 1.381, 1.883, 155.0438, 113.6988, 19.9 
5338, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 187.208, 137.2858, 19.9 
5339, "Transformer.05410_G2100EN2200", 2.761, 3.765, 101.9414, 74.75706, 19.9 
5339, "Transformer.05410_G2100GI2700", 1.381, 1.883, 168.2097, 123.3538, 19.9 
5339, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 202.7334, 148.6712, 19.9 
5339, "Transformer.05410_G2101BC7200", 7.217, 9.841, 102.9021, 75.46151, 7.62 
5339, "Transformer.05410_G2102CC0600", 1.381, 1.883, 104.4624, 76.60576, 19.9 
5340, "Transformer.05410_G2100DL9800", 2.071, 2.824, 104.5584, 76.67617, 19.9 
5340, "Transformer.05410_G2100EN2200", 2.761, 3.765, 107.8866, 79.11685, 19.9 
5340, "Transformer.05410_G2100GI2700", 1.381, 1.883, 178.0628, 130.5794, 19.9 
5340, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 210.4935, 154.3619, 19.9 
5340, "Transformer.05410_G2101BC7200", 7.217, 9.841, 106.8194, 78.3342, 7.62 
5340, "Transformer.05410_G2102CC0600", 1.381, 1.883, 108.4464, 79.52735, 19.9 
5341, "Transformer.05410_G2100DL9800", 2.071, 2.824, 112.5265, 82.51943, 19.9 
5341, "Transformer.05410_G2100EN2200", 2.761, 3.765, 115.6978, 84.84506, 19.9 
5341, "Transformer.05410_G2100GI2700", 1.381, 1.883, 191.0207, 140.0819, 19.9 
5341, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 224.8171, 164.8658, 19.9 
5341, "Transformer.05410_G2101BC7200", 7.217, 9.841, 114.0394, 83.62888, 7.62 
5341, "Transformer.05410_G2102CC0600", 1.381, 1.883, 115.794, 84.9156, 19.9 
5342, "Transformer.05410_G2100DL9800", 2.071, 2.824, 113.5437, 83.26539, 19.9 
5342, "Transformer.05410_G2100EN2200", 2.761, 3.765, 118.5698, 86.95122, 19.9 
5342, "Transformer.05410_G2100GI2700", 1.381, 1.883, 195.7742, 143.5677, 19.9 
5342, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 227.1485, 166.5755, 19.9 
5342, "Transformer.05410_G2100OJ3400", 7.217, 9.841, 100.2325, 73.50383, 7.62 
5342, "Transformer.05410_G2101BC7200", 7.217, 9.841, 115.2202, 84.49483, 7.62 
5342, "Transformer.05410_G2102CC0600", 1.381, 1.883, 116.9927, 85.79462, 19.9 
5343, "Transformer.05410_G2100DL9800", 2.071, 2.824, 107.7528, 79.01875, 19.9 
5343, "Transformer.05410_G2100EN2200", 2.761, 3.765, 112.4289, 82.44789, 19.9 
5343, "Transformer.05410_G2100GI2700", 1.381, 1.883, 185.5828, 136.0941, 19.9 
5343, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 213.5984, 156.6388, 19.9 
5343, "Transformer.05410_G2101BC7200", 7.217, 9.841, 108.3917, 79.48727, 7.62 
5343, "Transformer.05410_G2102CC0600", 1.381, 1.883, 110.0428, 80.69805, 19.9 
5344, "Transformer.05410_G2100EN2200", 2.761, 3.765, 103.0164, 75.54535, 19.9 
5344, "Transformer.05410_G2100GI2700", 1.381, 1.883, 169.9755, 124.6487, 19.9 
5344, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 193.1138, 141.6168, 19.9 
5345, "Transformer.05410_G2100EN2200", 2.761, 3.765, 103.0232, 75.55032, 19.9 
5345, "Transformer.05410_G2100GI2700", 1.381, 1.883, 169.9848, 124.6556, 19.9 
5345, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 194.9529, 142.9655, 19.9 
5345, "Transformer.05410_G2102CC0600", 1.381, 1.883, 100.4778, 73.68371, 19.9 
5346, "Transformer.05410_G2100EN2200", 2.761, 3.765, 100.8943, 73.98918, 19.9 
