Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"1708949", 22.87, 3,    13641.4,  115.7,    1.0331, 0, 0, 0, 0, 0, 0, 0, 0
"1708924", 22.87, 3,    13641.3,  115.7,    1.0331, 0, 0, 0, 0, 0, 0, 0, 0
"1599185", 22.87, 3,    13671.3,  117.8,    1.0354, 0, 0, 0, 0, 0, 0, 0, 0
"1599105", 22.87, 3,    13671.2,  117.8,    1.0354, 0, 0, 0, 0, 0, 0, 0, 0
"1586533", 22.87, 1,    13379.6,   -5.6,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"1586528", 22.87, 1,    13379.6,   -5.6,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"1710383", 22.87, 1,    13756.2,   -3.8,    1.0418, 2,      13742, -124.1,    1.0407, 3,    13697.1,  116.1,    1.0373
"1710369", 22.87, 1,    13753.5,   -3.9,    1.0416, 2,    13740.1, -124.1,    1.0406, 3,    13694.8,  116.0,    1.0372
"25078995", 22.87, 1,    13617.8,   -4.1,    1.0313, 0, 0, 0, 0, 0, 0, 0, 0
"25058943", 22.87, 1,    13617.7,   -4.1,    1.0313, 0, 0, 0, 0, 0, 0, 0, 0
"1710733", 22.87, 2,    13643.1, -125.1,    1.0333, 0, 0, 0, 0, 0, 0, 0, 0
"1710731", 22.87, 2,    13643.1, -125.1,    1.0333, 0, 0, 0, 0, 0, 0, 0, 0
"1586071", 22.87, 2,    13616.3, -125.1,    1.0312, 0, 0, 0, 0, 0, 0, 0, 0
"1586070", 22.87, 2,    13615.6, -125.1,    1.0312, 0, 0, 0, 0, 0, 0, 0, 0
"1709272", 22.87, 3,    13645.2,  115.8,    1.0334, 0, 0, 0, 0, 0, 0, 0, 0
"1709354", 22.87, 3,    13645.2,  115.8,    1.0334, 0, 0, 0, 0, 0, 0, 0, 0
"1585867", 22.87, 1,    13414.2,   -5.5,    1.0159, 0, 0, 0, 0, 0, 0, 0, 0
"1585866", 22.87, 1,    13414.1,   -5.5,    1.0159, 0, 0, 0, 0, 0, 0, 0, 0
"1708994", 22.87, 2,    13656.9, -125.2,    1.0343, 0, 0, 0, 0, 0, 0, 0, 0
"1708993", 22.87, 2,    13656.8, -125.2,    1.0343, 0, 0, 0, 0, 0, 0, 0, 0
"1713521", 22.87, 2,    13658.2, -123.6,    1.0344, 0, 0, 0, 0, 0, 0, 0, 0
"1713519", 22.87, 2,    13657.6, -123.6,    1.0344, 0, 0, 0, 0, 0, 0, 0, 0
"25929740", 22.87, 1,    440.026, -122.7,  0.033325, 2,    13640.9, -122.7,    1.0331, 3,    440.026, -122.7,  0.033325
"1715774", 22.87, 3,    13699.1,  116.9,    1.0375, 0, 0, 0, 0, 0, 0, 0, 0
"1715773", 22.87, 3,    13698.7,  116.9,    1.0375, 0, 0, 0, 0, 0, 0, 0, 0
"1586274", 22.87, 1,    13409.7,   -5.5,    1.0156, 0, 0, 0, 0, 0, 0, 0, 0
"1586276", 22.87, 1,    13409.4,   -5.5,    1.0156, 0, 0, 0, 0, 0, 0, 0, 0
"1586406", 22.87, 1,    13372.7,   -5.6,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0
"1586396", 22.87, 1,    13372.6,   -5.6,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0
"1586412", 22.87, 1,    13373.1,   -5.6,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0
"1586410", 22.87, 1,    13373.1,   -5.6,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0
"1715670", 22.87, 2,    13623.6, -124.0,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"1715531", 22.87, 2,    13623.5, -124.0,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"1708927", 22.87, 1,    13540.3,   -5.0,    1.0255, 2,    13652.5, -125.1,     1.034, 0, 0, 0, 0
"1708940", 22.87, 1,    13536.5,   -5.0,    1.0252, 2,    13652.5, -125.1,     1.034, 0, 0, 0, 0
"1586598", 22.87, 2,    13610.7, -125.1,    1.0308, 0, 0, 0, 0, 0, 0, 0, 0
"1586597", 22.87, 1,    439.082, -125.1,  0.033254, 2,      13609, -125.1,    1.0307, 3,    439.082, -125.1,  0.033254
"1586199", 22.87, 3,    13612.2,  115.3,    1.0309, 0, 0, 0, 0, 0, 0, 0, 0
"1586186", 22.87, 3,      13611,  115.3,    1.0308, 0, 0, 0, 0, 0, 0, 0, 0
"1586734", 22.87, 1,    13630.9,   -4.1,    1.0323, 0, 0, 0, 0, 0, 0, 0, 0
"1586732", 22.87, 1,    13630.8,   -4.1,    1.0323, 0, 0, 0, 0, 0, 0, 0, 0
"1585794", 22.87, 2,    13620.1, -125.1,    1.0315, 0, 0, 0, 0, 0, 0, 0, 0
"1599393", 22.87, 1,    13670.8,   -2.3,    1.0354, 2,    13640.7, -122.7,    1.0331, 0, 0, 0, 0
"26115129", 22.87, 1,     439.63, -123.9,  0.033295, 2,      13626, -123.9,     1.032, 3,     439.63, -123.9,  0.033295
"1715712", 22.87, 2,    13625.9, -124.0,     1.032, 0, 0, 0, 0, 0, 0, 0, 0
"1599464", 22.87, 1,    13672.8,   -2.4,    1.0355, 2,    13645.7, -122.8,    1.0335, 3,    13683.8,  117.5,    1.0363
"1599462", 22.87, 1,    13672.9,   -2.5,    1.0355, 2,    13646.3, -122.8,    1.0335, 3,    13685.3,  117.5,    1.0364
"1598891", 22.87, 1,    13676.1,   -2.0,    1.0358, 2,    13636.7, -122.3,    1.0328, 3,    13663.8,  118.0,    1.0348
"1598931", 22.87, 1,    13675.7,   -2.0,    1.0357, 2,    13637.4, -122.3,    1.0328, 3,    13664.7,  118.0,    1.0349
"103016099", 22.87, 1,    13693.4,   -4.2,    1.0371, 2,    13702.4, -124.5,    1.0377, 3,    13654.8,  115.7,    1.0341
"1710468", 22.87, 3,    13654.7,  115.7,    1.0341, 0, 0, 0, 0, 0, 0, 0, 0
"1586429", 22.87, 1,    13375.2,   -5.6,     1.013, 0, 0, 0, 0, 0, 0, 0, 0
"1586427", 22.87, 1,    13375.1,   -5.6,     1.013, 0, 0, 0, 0, 0, 0, 0, 0
"1586142", 22.87, 1,    13405.9,   -5.5,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"1713339", 22.87, 1,    13700.7,   -3.8,    1.0376, 2,    13739.3, -124.0,    1.0405, 3,    13703.1,  116.4,    1.0378
"26401832", 22.87, 1,    440.582, -125.2,  0.033367, 2,    13655.5, -125.2,    1.0342, 3,    440.582, -125.2,  0.033367
